,No,Output,Details,Budget (UGX) “000”,Cumulative % share of the total approved budget
0,1.0,134937.0,Human Resource Development and organizational restructuring,"85,422,751,932",26.61%
1,2.0,40680.0,Urban Road Construction,"53,004,148,872",42.86%
2,3.0,134940.0,Communications and Relations strategies Public,"29,544,878,033",52.06%
3,4.0,70808.0,Secondary (Wage) Education Services,"20,880,694,976",57.65%
4,5.0,90801.0,"Policies, development Laws and strategy","18,544,312,297",63.24%
5, , ,Total,"207,396,786,110", 
