No;Observations;Recommendations
1.1;Revenue Performance;
;Performance of Non-Tax Revenue (NTR) I reviewed the NTR estimates, revenue sources and rates charged at vote level for the financial year 2021/2022 and noted that the entity budgeted to collect NTR of UGX.215.63Bn during the year under review. Out of this, only UGX.209.00Bn was collected, representing a performance of 97% of the target. was however, noted that the NTR target was set by MoFPED without the participation of the Accounting Officer. I could not therefore confirm whether this target was realistic. It;I advise the Accounting Officer to ensure that the promised action is followed up and implemented.
