EFT No;Supplier;Description;Amount;Code charged;Right code
37624196;Bugembe Regional Mechanical Workshop;Payment for outstanding repair commitments on road equipment;189,437,000;312104;228003
39798190;Gulu Regional Mechanical Workshop;Payment for outstanding bills for repair and maintenance of district road equipment to service providers;300,000,000;225002;228003
42444206;Bugembe Regional Mechanical Workshop;Transfer to cater for Outstanding Bills for Road Equipment as per memo.;398,921,670;312213;228003
42765740;Bugembe Regional Mechanical Workshop;Transfer to Support Corrective Maintenance needs and Ground Engaging Implements of Road Equipment under Zonal Centre Central as per memo and Budget.;292,690,000;312104;228003
44556151;Bugembe Regional Mechanical Workshop;Outstanding bills for road equipment;466,746,198;225002;228003
44556151;Bugembe Regional Mechanical Workshop;Outstanding bills for road equipment;449,670,000;225002;228003
;Total;;2,097,464,868;;
