,Unyama,Lapeta Lubanga Ma Miyo Women's Group,Agriculture,"8,086,000","7,080,000",22/2//2018,"7,080,000.1","7,168,500","88,500","5,398,500"
0,Unyama,Coopil Ribe Ber Women Group,Agriculture,"8,643,000","7,755,000",6/12/2017,"7,755,000","996,000","337,950","7,500,950"
1, ,Total, ,"357,531,000","331,887,500", ,"230,679,500","107,919,800","4,985,780","270,006,460"
