,Project name,Sector,Pictures,Unnamed: 3,Remarks
0,Anyomotwon Odong Ki Mon Pit,Retail Wholesale and Trade, , ," Project received UGX. 8,003,000"
1, , ,"on 13-Dec-2018 and UGX 1,971,100 recovered.  Produce in the store.", , 
2, , ,Produce store,the member keeping them was not around., 
