,S/N,Planned level,Total planned Positions,Total Positions filled up to date 2021/2022.,Variance,% Variance
0,1.0,District Level,"5,658",963,"4,695",83%
1,2.0,Municipal Level,241,33,208,86%
2,3.0,Sub County Level,"3,376","3,035",341,10%
3, ,Totals,"9,275","4,031","5,244",57%
