,S/N,Year End,Total Outstanding Commitments at year end(UGX),% Decrease Increase/
0,1,30 th June 2020,"12,956,698,113",-
1,2,30 th June 2021,"11,029,291,938",(15%)
2,3,30 th June 2022,"11,456,443,943",4%
