,69,616,Rubanda DLG,No,No.1
0,70,578,Bukedea DLG,No,No
1,71,522,Katakwi DLG,No,No
2,72,564,Amolatar DLG,No,No
3,73,635,Kalaki DLG,No,No
4,74,859,Soroti City,No,No
5,75,553,Soroti DLG,No,No
6,76,575,Dokolo DLG,No,No
7,77,514,Kaberamaido,No,No
8,78,627,Kapelebyong,No,No
