,Category,Approved Estimates (UGX),Releases (UGX),Expenditure (UGX),Variance (UGX),%age Absor ption
0,Wage,"1,327,651,003,879","1,337,679,764,322","1,272,101,720,156","65,571,044,166",95.1
1,Pension/ gratuity,"204,202,297,439","201,687,026,777","187,625,232,038","14,052,794,739",93.0
2,Total,"1,531,853,301,318","1,539,366,791,099","1,459,726,952,194","79,623,838,905", 
