,Fully Implemented Out-puts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Partially Implemented Out-puts,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Out-puts not Implemented at all,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,Project,Output,Total output expenditure (UGX '000'),Total No activit ies,Number of fully implemented activities,Project,Out-put,Total Out-put expenditure (UGX '000'),Total No activities,Number of fully implemen ted activities,No of partially implemen ted activities,No of activities that were not implemente d,Project,Out-put,Total Out- put expenditure (UGX '000'),Total No activit ies,Activitie s not Implem ented
1, , , , , ,NBRB,Compliance with building development regulatory framework,"1,033,016,835",4,3,1,0,NBRB,Research and develop ment,"29,547,000",3,3
2, , , , , ,NBRB,NBRB Development and sustainability,"4,749,246,849",11,8,0,3, , , , , 
3, , , , , , ,Totals,"5,782,263,684",15,11,01,3, , ,"29,547,000",3,3
