,No,Details,Budget (UGX),Cumulative % share of the total approved budget
0,1.0,NBRB development and sustainability,"5,783,770,000",58
1,2.0,Research and development,"2,152,000,000",80
2,3.0,Compliance with building development regulatory framework,"1,417,150,000",94
3, ,Total Key deliverables,"9,352,920,000",94
