,Revenue Source,Approved Budget,warrants,Variance,% funding
0,Local Revenue,"450,000,000","408,115,125","41,884,875",90.7
1,Central Government grants,"10,594,995,497","10,591,395,496","3,600,001",99.96
2,Total,"11,044,995,497","10,999,510,621","45,484,876",99.6
