,PROJECTS,USMID,Gulu Gulu,DDEG (PECE P/S),DDEG (SACRED SS),SFG (CHRIST CHURCH),DDEG (PECE OFFICE BLOCK,Weighted Score %
0, ,1,2,3,4,5,6, 
1,Weight (%),96.48%,2.50%,0.18%,0.50%,0.21%,0.13%, 
2,Economy,21.47,25.71,25.89, ,0.00, ,21.54
3,Efficiency,16.00,14.00,26.00,26.00,8.00,19.00,16.01
4,Effectiveness,30.23,13.00,30.00,19.00,17.00,16.00,29.69
5,Total,67.70,52.71,81.89,64.29,25.00,50.00,67.24
