,Finding,Cause,Implication,Recommendation
0,Partition wall turned into a pit Ceiled Exit Door, , , 
1,It is true the accounting officer advice the head teacher during the site meeting to seal off the partition walls as this was not part of the contract. Attached is the minutes extract. Management Response, , , 
2,Auditor’s remarks To be followed up., , , 
3,"(b) Assessment of the utilisation of the infrastructure (i) Observed functionality and usage At the time of audit, the construction works were complete but the structure had not been put to its intended use yet as pupils were away from school due to school closure as result of the Covid-19 pandemic. However, audit noted that structure will serve its intended purpose.", , , 
4,"Environmental degradation The Municipality should ensure that environmental protection measures are always adhered (c) Assessment of the fulfilment of environmental and social impact requirements, health and safety (i) Environmental and Social Impact Safeguards,", , , 
