,Finding,Cause,Implication,Recommendations
0,(iii) Approved supervising personnel on site The auditor observed that the Municipality appointed the Assistant municipal Engineer (Mr. Ojok Christopher) as the project manager to supervise the project works., ,OK,OK
1,"(iv) Approved equipment on site At the time of the audit, all equipment had been demobilized.", ,OK,OK
2,"(d) Review of Contract Supervision and Monitoring Arrangements during project closure (i) Presence of detailed certificate of completion. From the audit review of the contract management files, it was discovered that no detailed completion certificate had been issued with an accompanying snag list.",Poor project management.,Rectification of snags may not be done effectively.,The municipality should inspect works at completion and identify any defects then issue the completion certificate accompanied by a snag list..
3,"Management Response It is true that at the time of audit, the certificate of completion was filed in the voucher files and could not be examined by the auditors. They are now available for audit verification.", , , 
4,Auditor’s remarks Completion certificate not availed for verification., , , 
5,"(ii) Presence of As-built drawings and Maintenance Manuals The as-built drawings were not available on the project management file. Clause GCC 58.1 of special conditions of contract demands the issuance of As-built drawings on Practical completion date, which was not adhered to. The contract however did not specify who was to prepare the as built drawings.",Poor contract formulation.,Lack of as-built drawings may hinder economic and effective future maintenance interventions.,The Special Conditions of Contract need to clearly indicate the need for as- built drawings and specify the person in charge of their production.
6,Management Response We concur with the audit findings. This was due to the capacity gaps in the Engineering department and shall improve on that by supporting them through recruitment of more staff in the department a refresher courses for a better result in the subsequent projects. Attached is the submission letter for recruitment of a, , , 
