,42,Uganda Investment Authority,2,2.1,2.2,2.3,-,-.1,-.2,-.3
0,43,Gulu University,8,47,3,46,5,1,-,-
1,44,Kyambogo University,16,120,2,1,12,119,2,-
2,45,Busitema University,6,39,-,-,6,39,-,-
3,46,Uganda Management Institute,7,2,-,-,4,1,3,1
4,47,Management Training and Advisory Centre (MTAC),5,5,3,4,2,1,-,-
5,48,Higher Education Students’ Financing Board,13,20,3,1,8,19,2,-
6,49,Health Service Commission,5,7,1,5,4,2,-,-
7,50,Butabika National Referral Mental Hospital,5,16,3,11,2,5,-,-
8,51,Uganda Railways Corporation,37,415,2,372,15,40,20,3
9,52,Uganda Cancer Institute,10,138,10,138,-,-,-,-
10,53,Uganda Civil Aviation Authority,12,44,1,42,3,3,8,-
11,54,Judiciary Department,12,93,2,3,10,90,-,-
12,55,Directorate of Citizenship and Immigration Control,16,99,5,7,11,92,-,-
13,56,Uganda Human Rights Commission,13,18,8,1,5,17,-,-
14,57,Law Development Centre,5,24,-,-,5,24,-,-
15,58,Local Government Finance Commission,6,2,3,1,3,-,-,-
16,59,Ministry of East Africa Community Affairs,9,27,9,27,-,-,-,-
17,60,Amnesty Commission,4,3,1,1,3,2,-,-
18,61,Ministry of Internal Affairs,23,27,8,4,15,23,-,-
19,62,Uganda Law Reform Commission,6,7,-,-,6,7,-,-
20,63,Uganda Registration Services Bureau,4,20,-,-,4,20,-,-
21,64,Education Service Commission,6,16,5,12,1,4,-,-
22,65,National Forestry Authority,7,25, , ,7,25,-,-
23,66,Uganda Police Force,16,674,7,168,9,506,-,-
24,67,Ministry Justice & Const. Affairs,31,161,12,21,19,139,-,-
25,68,Office of the Director of Public Prosecutions (ODPP),6,32,2,3,3,21,1,8
26,69,Ministry of Finance Planning and Economic Development,64,523,18,60,36,207,10,256
27,70,Uganda National Bureau of standards,6,15,2,8,4,7,-,-
28,71,Office of the Prime Minister (OPM),22,163,4,5,18,158,-,-
29,72,Uganda Blood Transfusion Service,6,18,4,12,1,6,1,1
30,73,Kiruddu Referral Hospital,7,21,3,9,4,12,-,-
31,74,Uganda Virus Research Institute,8,15,6,7,2,7,-,-
32,75,Education Service Commission,6,16,5,12,1,4,-,-
33,76,National Council for Higher Education,5,11,2,1,3,10,-,-
34,77,Uganda Heart Institute,8,14,1,4,7,10,-,-
35,78,Office of the President,10,76,4,42,5,33,1,2
36,79,National Planning Authority,4,9,1,2,3,6,-,-
37,80,Development Response to Displacement Impact Project,3,238,1,14,2,224,-,-
38,81,Dairy Development Authority,1,0,-,-,-,-,1,0
39,82,Cotton Development organisation,3,2,1,0,2,1,-,-
40,83,National Drug Authority,43,74,23,44,20,30,-,-
41,84,China Uganda Friendship Hospital,6,1,4,1,2,0,-,-
42,85,National Oil Palm Project (NOPP),6,10,-,-,6,10,-,-
43,86,National Medical Stores,13,499,13,499,-,-,-,-
44,87,Kawempe Referral Hospital,9,12,7,11,2,1,-,-
45,88,The Electoral Commission of Uganda,6,79,2,50,3,29,1,-
46,89,Ministry of Works and Transport,22,693,5,295,15,390,2,8
47,90,Ministry of Health,18,324,6,23,9,294,3,7
48,91,UNRA,26,"1,473",9,154,16,"1,285",1,34
49,92,NIRA,10,22,2,3,7,19,1, 
