,No.,Vote Code,Entity Name,Amount (UGX)
0,1.0,523,Kayunga District,"773,412,069"
1,2.0,544,Nakasongola District,"400,000,000"
2,3.0,586,Otuke District,"342,888,374"
3,4.0,602,Rubirizi District,"350,890,654"
4,5.0,556,Yumbe District,"1,803,548,082"
5, ,Total, ,"3,670,739,179"
