,CAA/NCONS/18- 19/00462,A retreat was organized for the UCAA Board of Directors to completely discuss the report and advise management accordingly. This was to consider the final job evaluation report other pertinent Human resource matters. and,Mestil hotel,"35,000,000"
0,CAA/SUPLS/15- 16/00070,Remote Control System for AGL for Soroti Aerodrome.,Soroti Aerodrome,"430,000,000"
1,Total, , ,"4,114,939,383"
