,Governm ent support to UCAA- DAAS (Security Systems ),Security Screening and scanning equipment,Security Screening and scanning equipment.1,No,nil,"9,340,000","9,000,000",nil.1,nil.2,It was not funded by the central government.,Could not be ascertai ned,Not impleme nted,Yes,Yes.1,The planned government support was not secured.
0,Governm ent support to UCAA- DAAS (Security Systems ),Security Integrated Communicatio n System,Security Integrated Communicati on System,No,nil,"4,482,200","4,320,000",Nil,nil,It was not funded by the central government.,Could not be ascertai ned,Not impleme nted,Yes,yes,The planned government support was not secured.
1,Governm ent support to UCAA- DAAS (Security Systems ),Access Control System,Access Control System,no,nil,"4,109,600","3,960,000",Nil,Nil,It was not funded by the central government.,Could not be ascertai ned,Not impleme nted,yes,yes,The planned government support was not secured.
2,Governm ent support to UCAA- DAAS (Security Systems ),Security Integrated Management Building System,Security Integrated Management Building System,no,nil,"4,670,000","4,500,000",Nil,Nil,It was not funded by the central government.,Could not be ascertai ned,Not impleme nted,Yes,yes,The planned government support was not secured.
3,Governm ent support to UCAA- DAAS (Security Systems ),Security Equipment for Cargo Centre,Security Equipment for Cargo Centre,No,nil,"15,000,000",nil,nil,nil,nil,Could not be ascertai ned,Not impleme nted,No,No,The planned government support was not secured.
