,Aerodro me mainten ance,Automatic voltage regulator 250kVA for HQTrs,"Develop Specification s, Market survey, Procurement Manufacturi ng, Testing, Training, Commissioni ng",yes (partially),• Specifications and BoQ document • 1 FAT report • 1 Training report • 1 commissioning report,"100,000","100,000.1",nil,nil.1,Procurement was added by 30/06/2020,"• Specific ations and BoQ docume nt • 1 FAT report • 1 Training report • 1 commis sioning report , all not done",Not impleme nted,Yes,yes,Unnamed: 14
0,Aerodro me mainten ance,Overhaul of obsolete 11Kv EIA Main power supply Ring Main Phase 3,"Develop Specification s, Market survey, Procurement Manufacturi ng, Testing, Training, Commissioni ng",yes (partially),• Specifications and BoQ document • 1 FAT report • 1 Training report • 1 commissioning report,"1,600,000","1,600,000",nil,nil,"By 30th June 2020, the project was at procurement bid submission",• Specific ations and BoQ docume nt • 1 FAT report • 1 Training report • 1 commis sioning report were all not done,Not impleme nted,yes,yes, 
