,Regional Airports Departm ent,To Construct perimeter fence at Gulu,construct perimeter fence at Gulu,No,Constructing perimeter fence at Gulu Airport. By Gets Technical Services Completed by 30th June 2020,"687,929","687,829","178,147.08","280,943.50",Not done due to land wrangles,Constru cting perimet er fence at Gulu Airport. By Gets Technic al Services Complet ed by 30th June 2020. This was not done,Not impleme nted,No.1,No.2,Unnamed: 14
0,Regional Airports Departm ent,To Construct perimeter fence at Tororo,Construct Perimeter fence at Tororo,No,Constructing perimeter fence at Tororo Airport. By Afro General Builders (To be completed by 30th March 2020),nil,nil,"519,963.01","613,556.35",This was not done due to land wrangles,Constru cting perimet er fence at Tororo Airport. By Afro General Builders (To be complet ed by 30th March 2020) This was not done,Not impleme nted,No,No, 
1,Regional Airports Departm ent,Coordinate with CEEE to supervise the delivery and installation of the AGL,Coordinate with CEEE to supervise the delivery and installation of the AGL,No,Proper installation made. (Soroti),"2,528,443","2,528,443","2,528,443.33","2,528,443. 33",Not implemented. Yet to be installed awaiting ATC system,Proper installati on made. (Soroti) This was not done,Not impleme nted,No,No, 
