,1,UG 1830W,KOMAT’S U,GD6125(20 17),Motor Grader,6D125,6D125-117292,KMTGDO28AH A001763,Running
0,2.0,UG 1929W,KOMAT’S U,WA250 (2017),Wheel Loader,SAA6D102 FF-2,6D102- 26497752,KMTWA0207H A72905,Running
1, , , , , , , , , 
2,3.0,UG 2425W,SAKAI,SV520D(20 17),Vibrator Roller, , , ,Running
3,4.0,UG 2291W,FUSO,6D16 (2017),Water Bowser,6D16-,A71562,FM657F- A45427,Running
4,5.0,UG 2558 W,FUSO,6D16(2017),Truck Dumper,6D16-,A71562,FM657F- A45427,Running
5,6.0,UG 2307W,FUSO,6D16 (2017),Dumper Truck,6D16-,A70605,FM657F- A45226,Running
