,Lot No,Asset,No Of Assets,Costs
0,1.0,BMK motorcycle,UG 2868 M,"100,000"
1,2.0,JIALING Motorcycle,UG 3300 M,"50,000"
2,3.0,BMK-L80 Motorcycle,UG 2869 M,"100,000"
3,4.0,YAMAHA Motorcycle,UG 3617 M,"150,000"
4, ,TOTAL, ,"400,000"
