,S/N,Item Descriptions,Unit of,Quantity,Quantity.1,Unit Price,Value (UGX)
0, , ,Measure,Received,Issued, , 
1,A,FOOD ITEMS, , , , , 
2,1,Posho-Maize Flour,Kgs,"117,905","117,905","2,200","259,391,000"
3,2,Beans-kg,Kgs,"54,000","54,000","3,500","189,000,000"
4,3,spiced carton rice 36pkt per,Boxes,75,75,"3,200","240,000"
5,4,Rice-kg,Kgs,"3,637","3,637","3,000","10,911,000"
6,5,Corn Soya Blend-kgs,Kgs,"1,782","1,782","3,200","5,702,400"
