Nature of Tax;Total Amount written off (UGX)
Value Added tax (VAT);348,986,568,013
Stamp Duty 8,460,910,000;
Pay As You Earn (PAYE);158,293,699,210
Import Duty 98,569,989,826;
Excise Duty;52,685,114,511
Income Tax 114,133,374,978;
Withholding Tax;28,604,598,593
Total 809,734,255,131;
