SN;Item;Amount - UGX
1;Consolidated Tax Liability (PAYE, Local Exercise,;9,786,780,845
;Withholding Tax, Value Added Tax);
2 UCC liability 62,469,304,749;;
3;UCECPS liability;2,353,904,321
4 Verified Creditors Liability (Pre & Post Administration period) 63,079,412,417;;
5;Un remitted NSSF Deductions;15, 462, 575,874
6 UTL Pension Liability for former UPTC employees 165,048,246,917;;
;Total;302,737,649,249
