External;Release;Expenditure;Release;Expenditure;%of funds;%of funds
financing;(UGX) Bn;(UGX)Bn;Variance;Variance;not;not
Budget;;;(UGX) Bn;(UGX) Bn;released;Absorbed
(UGX)Bn;;;;;(UGX) Bn;(UGX) Bn
9,515.30;4,516.50;2,937;4,998.80;1,579.50;53%;35%
