SN;District/;Name of;Contract price;Amount spent;Status
;Municipal;project;(UGX) Bn;(UGX) Bn;
;Council;;;;
1;Kamwenge;Construction;2.02;1.92;Completed
;DLG;of Bwizi Seed;;;and handed
;;school;;;over
Mityana 0.66 Incomplete DLG Upgrade of Busunjju HC II to HC III 2;;;;;
3;Kyotera;Upgrade of;0.66;0.28;Incomplete
;DLG;Nyangoma HC;;;
;;II to HC III;;;
Moroto DLG Construction 1.94 1.70 Incomplete of Rupa Seed secondary school 4;;;;;
Total;;;5.28;3.90;
