,No.,Items,Drawings/ Specifications,Field checks/measurem ents,Conformity
0,1,Roofing Iron Sheets gauge,Gauge 28,Gauge 28,Conformed
1,2,Roofing Timber,100 x 50 mm,100 x 50 mm,Conformed
2,3,Brick Wall Thickness,230mm,230mm,Conformed
3,4,Windows,1200 x 1500mm,1200 x1500mm,Conformed
4,5,Doors,900 x 2400mm,900 x 2400mm,Conformed
