,Loyoajonga Primary School,No,0,0.1,"6,002,061","6,002,061.1",Unnamed: 6,100,5
0,Kitenyi Owalo Primary School,Yes,5.0,100.0,"5,695,254","5,140,850", ,90%,0.0
1,Total Score,10 out of 25,10.0, ,10 out 0f 25, , , ,10.0
2,Overall % Score 68 out of 125, , , , , ,54.4%, , 
