,Procurement Reference,Project Title,Unit Project Item Costs as per Engineer’s Estimate,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Score out of 5
0,GULU508/WR KS/2014- 2015/00004,Completion of renovation of a theatre at Awach HCIV in the FY 2016/17,Concrete C25,Bricks,Timber,Iron Sheets,Re-bars,0.0
1,GULU508/WR KS/2015- 2016/000020,Construction of a four-stance VIP latrine with a urinal at Awach HCIV,Not Availed,Not Availed,Not Availed,Not Availed,Not Availed,0.0
2,GULU508/WR KS/2016- 2017/000028,Construction of a Four-Stance VIP Latrine with a Urinal at Binya HCII,Not Availed,Not Availed,Not Availed,Not Availed,Not Availed,0.0
3,GULU508/WR KS/2017- 2018/00021,Construction of a Two-Stance Latrine with Urinal at Pugwinyi HCII,Not Availed,Not Availed,Not Availed,Not Availed,Not Availed,0.0
4,GULU508/WR KS/2016- 2017/000,Construction of Placenta Pit at Oitino HCII,Not Availed,Not Availed,Not Availed,Not Availed,Not Availed,0.0
5,Total score (0 out of 25), , , , , , ,0.0
6,Overall % Score (0 out of 25), , , , , ,0%, 
