,Item,Description,Units
0,Item 1,Concrete Class 25,m 3
1,Item 2,230mm Brick Walling,m 2
2,Item 3,Roofing Timber 100×50mm,m
3,Item 4,Roofing Iron Sheets (Gauge 28),m 2
4,Item 5,Reinforcement Bars,Kg
