,Category,Initial budget (UGX) (Bn),Revised budget (UGX) (Bn),Amount released (UGX) (Bn),%age funding received
0,Salary,17.978,18.27,17.978,97.4
1,Pension,3.418,3.418,3.418,100.0
2,Pension arrears,0.462,0.462,0.462,100.0
3,Gratuity,0.798,0.798,0.798,100.0
4,Total,22.656,22.948,22.656,98.7
