,PROJECTS,USMID,NON USMID,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0, ,1,2,3,4,5,6,7,Weighted Score
1,Weight (%),97.25%,2.23%,0.19%,0.05%,0.17%,0.05%,0.05%, 
2,Economy,28.4,19.06,22.75,22.76,23.14,24.07,22.74,28.16
3,Efficiency,24,13,21,24,21,24,24,23.74
4,Effectiveness,18,22,16.8,28,11.2,21,12,18.08
5,Total,70.4,54.06,60.55,74.76,55.34,69.07,58.74,69.98
