,Laboratory Test Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Materials,Test,Auditors Result,Specification (Target subject to Table 4213/1),Comment,Auditor's Remarks
1,Asphalt Concrete (AC20),"Grading, Passing Sieve (mm)",Average, ,The gradation failed to meet the target requirement together with tolerance,The bitumen content as extracted is high. The mix is likely to bleed.
2, ,28,100,100, , 
3, ,20,99.5,85.5-94.5, , 
4, ,14,82.9,66.5-73.5, , 
5, ,10,68,57.0-63.0, , 
