,Bill Item,Unit,Contract Rate (F) UGX,Lowest rate across municipalities (F m ) UGX,Score (2*Fm/F),Percentage of Contract rate to lowest rate (1+(F- F m )/F m )%
0,Precast concrete Class 30 kerbs,M,"51,200","51,200",2.0,100%
1,Asphalt Concrete for Surfacing,M 3,"896,800","896,800",2.0,100%
2,Clearing and Grubbing,Ha,"4,788,000","4,788,000",2.0,100%
3,"White lines, broken or unbroken",M,"11,970","11,970",2.0,100%
4,CRR for Road Base,M 3,"159,600","159,600",2.0,100%
5,Total, , , ,10.0,Average = 100%
