,Defects Liability Period (DLP),One (1) Year
0,Physical Progress reported,74.06 as at end of July 2018
1,Financial Progress,65.74% (physical works) as at end of July 2018
2,Time Lapse,81.65% of the Revised Time for Completion
3,Amount certified to-date (Advance plus IPC Nos. 1 to 4 ),"UGX 28,303,958,446"
