,Cost Per Square Meter of Road (F) (UGX),Lowest Cost Per Square Meter of Road Among Municipalities (F m ) (UGX),Score (15*F m /F),Proportion of the Project Unit Cost to the Lowest (1+(F-F m )/F m )
0,Earth Works Excl.,Earth Works Excl.,Earth Works Excl.,Earth Works Excl.
1,"538,827","493,290",13.73,1.09
