,Item No.,Description,Unit,Rate (UGX)
0,42.01(a),"50mm, 60/70 penetration bitumen with 20mm maximum aggregate",Cu.M,"896,800"
1,42.01(b),60/70 penetration grade bitumen for asphalt concrete surfacing,ton,"4,335,000"
