,No.,Items,Location Chainage,Unit,Drawings/ Specifications,Field checks/ measurements (averaged where necessary),Conformity
0,13) PETER PAUL OPOK ROAD (0.86KM), , , , , , 
1,1,Kerb-Kerb road width,0+180,m,9.55,9.55,Ok
2, , ,0+260,m,9.55,9.58,Not Ok; non-compliant with Clause 7304(b) of the Gen.
