,In-situ Test Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Element Tested,No. of Points Tested,Age (days),Moisture Condition,Average Value of Concrete Strength (Mpa),Specificatio n (Mpa),Remarks
1,Kerb stones,3 Points,"""14-56""",dry,30.4,30.0,Passed
2,Walkway Slab,3 Points, , ,39.6,30.0,Passed
