,Item No.,Item Description,Location,Unit,Measured Qty,Certified Qty,Difference (Certified- Audit),Rate,Amount of Overpayment,Remarks
0,3) ALEX OJERA ROAD (0.60KM), , , , , , , , , 
1,23.01(a),Precast concrete C lass 30 barrier kerb,ref. ANNEX 3.1.5(b)(iii)_3(a),m,611.8,539.5,-72.3,"51,200",0.0, 
2,23.17(b),Precast Cover slabs without up stand beam,ref. ANNEX 3.1.5(b)(iii)_3(b),No.,590.0,593.0,3.0,"126,700", ,OK
3,23.17(c ),Cover slabs with Up stand beam,ref. ANNEX 3.1.5(b)(iii)_3(b),No.,323.0,325.0,2.0,"158,350", ,OK
