,Finding,Unnamed: 1,Unnamed: 2,Cause,Implication,Recommendation,Unnamed: 6
0, Km 0+530 RHS and several other locations: Scattered asphalt concrete residual materials in the road environs., , ,Poor disposal of hazardous materials Hazardous asphalt materials haphazardly disposed in the environment will lead to environmental degradation, , ,The Contractor should be instructed to remove and safely dispose all residual asphalt materials.
1, , , , , , , 
2, , , , , , , 
3,Management Response, , ,All asphalt materials were removed from the site and disposed of safely. Audit Comment Ok, , , 
4, Entire Road Length: Soil/ Debris on top of covered rectangular drains., , ,Site untidiness Debris/ silt in covered rectangular drain The Consultant and the Municipality should ensure that the rectangular drains are thoroughly cleaned by the Contractor before taking- over by the Employer., , , 
5,Management Response All the covered rectangular drains were thoroughly cleaned by the Contractor prior to taking-over by the Employer., , , , , , 
