,No.,Items,Location Chainage,Unit,Drawings/ Specifications,Field checks/ measurements (averaged where necessary),Conformity
0,7) Dr.KENNETH ONEKALIT ROAD (0.27KM), , , , , , 
1,1,Kerb-Kerb road width,0+060,m,9.55,9.55,OK
2, , ,0+120,m,9.55,9.5,Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec
3, , ,0+160,m,9.55,9.5,Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec
4, , ,0+200,m,9.55,9.5,Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec
5, , ,0+240,m,9.55,9.5,Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec
6,2,Asphalt Concrete Width,0+060,m,9.0,9.0,OK
7, , ,0+060,m,9.0,9.0,OK
8, , ,0+160,m,9.0,9.0,OK
9, , ,0+200,m,9.0,9.0,OK
10, , ,0+240,m,9.0,9.0,Ok
