,7),"Dr. Kenneth Onekalit Road (0.275km) Asphalt concrete, kerbing, drainage, walkways and street light works were already completed. Road marking and road signs works were yet to be executed. The entire walkways and drainage were untidy.",Unnamed: 2
0,8),"Nyerere Avenue (0.82km) Asphalt concrete, kerbing and drainage works were already completed; walkways were being finalised. Street lights were installed. Road marking and road signs works were yet to be executed. The entire walkways and drainage were untidy.", 
1,9),"Odida Road (0.24km) Asphalt concrete, kerbing, drainage, walkways and street light works were already completed. Road marking and road signs works were yet to be executed.", 
2,10),"Timothy Okwera Road (0.25Km) Asphalt concrete, kerbing, drainage, walkways and street light works were already completed. Road marking and road signs works were yet to be executed. The entire walkways and drainage were untidy.", 
3,11),Lasto Okech Road (0.50Km) Asphalt concrete laying and compaction was in progress for entire length; kerbing and drainage works were completed; walkways were being finalised and street lighting works was in progress. The entire walkways and drainage were untidy., 
