,Acronym,Meaning
0,ADB,African Development Bank
1,GOU,Government of Uganda
2,IESBA,International Ethics Standards Board for Accountants
3,ISA,International Standards on Auditing
4,ISSAIs,International Standards of Supreme Audit Institutions
5,MOFPED,"Ministry of Finance, Planning and Economic Development"
6,MoWT,Ministry of Works and Transport
7,UA,Unit of Account
8,UG,Uganda
9,UGX,Uganda Shillings
