,Category,date of purchase,Cost,number of items,No. of yrs in use
0,CPU,23/11/2018,"3,342,000",5,4
1,CPU,1/7/2010,-,3,12
2,Desk top,1/7/2010,-,11,12
3,Monitor,23/11/2018,-,5,4
4,Printer,1/7/2010,-,2,12
5,CPU,1/7/2010,-,29,12
6,CPU,30/12/2016,"2,975,877",15,6
7,Desk top,1/7/2010,"1,715,000",18,12
8,Desk top,1/7/2010,-,11,12
9,IPAD (space gray),17/11/2017,"3,100,000",9,5
10,Monitor,1/7/2010,-,19,12
