,Unnamed: 0,"Port Bell - Bugolobi, Kibuli",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Mbabazi Harriet. Turyashemerewa. Dindayal. Ben Otim and Suzan Joy Amot Otim.  LRV4437 Folio 25 Plot 3 Namuwongo Third Close  LRV 2270 Folio 17 Plot 3B NAM 6th Close Bernard  LRV 3231 Folio 17 Plot 59 Namuwongo Road Singh  LRV 3155 Folio Plot 101 Namuwongo Road Namuwongo Nteziyaremye Godfrey.  LRV 3373 Folio 19 Plot 2 Main Access Road Formerly  LRV 3570 Folio 1 Plot 23A Namuwongo Road  LRV Folio Plot 3 Namuwongo Fifth Close Ismail Tools and fasteners. Dattatraya Joshi Vasant. Shaban Juma.  LRV 3314 Folio …Plot 2 Namuwongo 3rd Close Kamulegeya Lawrence and Nakafeero Namuddu Teopista.  LRV 3856 Folio 17 Plot 109 A Namuwongo Road  LRV 2755 Folio 1 Plot 3 Namuwongo Road Muramuzi  LRV Folio Plot Deo Maniraguha Ntatamashakiro  LRV 2519 Folio 6 Plot Namuwongo Road Kandolo Marjorie Kalema Bartholomew. Muhamad.  LRV 3956 Folio 7 Plot 109 A Namuwongo Road Charles Mackyabire Simba Properties Limited.  LRV 37475 Folio 7 Plot1 First Luzira Close.  LRV 3825 Folio 1 Plots 2 and 3 First Luzira Close Dawson Estates Ltd Plot 8 and 8A Kome Close.
0,3,"FOLIO 4, RAILWAY FRV 219 (KAMPALA STATION RESERVE)",KAMPALA RAILWAY STATION RESERVE),42.3,0.311,Kampala District land Board,"Land leased out to H&K Investments Limited on LRV 2963 Folio 3, Plot 28-32 Entebbe Road for"
1,4,JINJA OLD RAILWAY STATION AND PIER,Jinja Station,43.0,9.5,Jinja District land Board,The land board subdivided the land and leased it out to several developers including infamous 58 developers. the
