,Unnamed: 0,never sold.,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,6.0,Kibuga – Kyadondo (2 blocks of residential buildings,"Block 11, plot 544",0.42,Kabowa,1992.0,"41,160",No,"The land is not in the current Land and fixed Assets register. Management indicated that this land had been offered for sale during the PU disposals so in effect it was removed from the assets, but the winning bidders failed to meet their contractual obligations and the land were never sold."
1, ,Total, ,10.8, , ,"2,473,324", , 
