,S/n,Land Description,Plot & Block No,Land Area (hectares),Location,Date of Acquisition,Cost (000),(Recorded in Land Register) Yes/No,Remarks/Reason
0,1,Mutundwe Vacant land,Block 264 Plot 872,0.4,Mutundwe,1992,"39,690",No,"The land is not in the current Land and fixed Assets register. Management indicated that this land had been offered for sale during the PU disposals so in effect it was removed from the assets, but the winning bidders failed to meet their contractual obligations and the land were never sold."
1,2,Ndeeba blocks residences) (3 of,Block 763 11Plot,0.11,Ndeeba,1992,"10,780",No,The land is not in the current Land and fixed Assets register. Management indicated that this
