,65,DELL POWER EDGE R840 SERVER,URC/ITE/ITO/8009,2018,"35,253,750"
0,66.0,Cisco Routers ISR 4331 3GE,URC/ITE/ITO/3002,30/12/20,"6,995,078"
1,67.0,Cisco Routers ISR 4331 3GE,URC/ITE/ITO/3003,30/12/20,"6,995,078"
2,68.0,Cisco Routers ISR 4331 3GE,URC/ITE/ITO/3004,30/12/20,"6,995,078"
3, , , , ,"520,935,318"
