,Year,CPI’s Used By KIS,Unnamed: 2,Core CPI’s (Source: UBOS),Unnamed: 4
0, ,Base,CPI,Base,CPI
1,2012.0,149,194,149,189
2,2013.0,149,198,149,194
3,2014.0,149,214,149,208
4,2015.0,149,218,149,212
5,2016.0,149,226,149,226
6,2017.0,103,159,106,158
7,2018.0,103,164,106,164
