,Component,Capital Investment by KIS (UGX),GoU Support payment during construction phase (UGX),Variance (UGX)
0,Road/Ferry landings,"40,162,218,593","40,853,493,884","691,275,291"
1,Ferry,"19,803,408,564","40,863,933,092","21,060,524,528"
2,Total,"59,965,627,157","81,717,426,976","21,751,799,819"
