,Unnamed: 0,Year,Amount billed and paid (UGX),Half year review Amount (UGX),Variance (Amount not recovered - UGX)
0,1.0,2013,"6,751,528,926","6,541,256,792","210,272,134"
1,2.0,2014,"8,331,316,681","8,274,542,953","56,773,728"
2,3.0,2016,"14,030,718,000","13,611,015,600","419,702,400"
3, ,Total, , ,"686,748,262"
