,Component,Amount (UGX)
0,Power,"42,188,131,683"
1,Road/Ferry landings,"40,162,218,593"
2,Water,"8,286,385,004"
3,Ferry,"19,803,408,564"
4,Remittance to InfraCo,"2,595,000,000"
5,Development expenditure by 2012,"22,790,177,706"
6,Financing fees/costs,"2,753,839,950"
7,Total,"138,579,161,500"
