,SN,Project,Interest (UGX),Interest (USD)
0,1,Soroti-Katakwi-Akisim,"407,287,185","64,255.07"
1,2,Musiita-Lumino-Majanji,"1,750,442,832.39","627,224"
2,Total, ,"2,157,730,017.39","691,479.07"
