,FY,Financial year
0,IFRS,International financial reporting standards
1,IAS,International accounting standard
2,IT,Information Technology
3,UNRA,Uganda National Roads Authority
4,MOU,Memorandum of Understanding
5,UGX,Uganda Shillings
6,IPCs,Interim Payment Certificates
7,MTEF,Medium Term Expenditure Framework
8,PAYE,Pay as You Earn
9,ADB,African Development Bank
10,PAPs,Project Affected Persons
11,VAT,Value Added Tax
12,WHT,Withholding tax
