,SN,Project name,Net increase due to FX
0,1,Bumbobi - Lwakhakha road,"1,554,429,739.13"
1,2,Kyenjojo-FortPortal,"8,270,932,974.582"
2,3,Lopei Bridge,"157,278,932.41"
3,4,Kaabong bridge,"94,585,172"
4,Total, ,"10,077,226,818.122"
