,S/N,Contract name,Contractor,Contract Price (UGX)
0,1.0,"Bukomero-Dwaniro-Kyankwanzi (68.2Km), Kabwoya-Kituti Kiziranfumbi-Kabaale Buseruka-Tonya (29.5Km) (42Km), (25.7Km)",Lusa Construction & Engineering Co. Ltd,"3,987,851,201"
1, ,Total, ,"3,987,851,201"
