,S/N,Project name,Contractor,Contract Price (UGX)
0,1.0,Mechanized Maintenance of Selected Unpaved Roads under Framework Contracts for 3 Years Totaling to 487.2Km. Call off order 3: Kaitabawala-Kisozi-Busota (58.2Km).,Rock trust contractors (U) Limited,"33,860,159,881"
1, ,Total, ,"33,860,159,881"
