,No Year End Amount (UX) % increase/(decrease),Unnamed: 1,Unnamed: 2,Unnamed: 3
0,1,30 th June 2017,"288,712,880,023", 
1,2,30 th June 2018,"224,723,792,116",(22.2%)
2,3,30th June 2019,"472,844,113,257",110.4%
