,Particulars,30 June 2019 (UGX),30 June 2018 (UGX)
0,Construction Advances,"518,063,941,495","414,712,475,445"
1,Outstanding Letters of Credit,"47,076,369,327","35,658,029,613"
2,Other Account Receivables,"1,706,834,414","1,917,696,198"
3,Total,"566,847,145,236","452,288,201,256"
