,Project Name,Objective,Amount Received (UGX),Audit Remarks
0,Bridges Prosperity to,Construction of suspended cable footbridges across river crossing bottlenecks.,"595,580,000",This is a five-year project and 10 footbridges were to be constructed in selected parts of the country.
1,Development Initiative for Northern Uganda,"Training technical and technical from DLGs in North & North Eastern Uganda in LBT, staff","372,410,000","The project started late and will to 2019/20. However, it should be noted that the budget had continue through"
