,S/No,Project,Item,% Increase
0,1.0,Rehabilitation/Upgrading of the Access Road(3.1km) to Busoga College Mwiri in Jinja and Paving the Parking Area at Central Materials Laboratory in Kireka Kampala,Cut to Spoil,561%
1, , ,Imported Subgrade Fill,163.2%
2, , ,Stone Pitching,31.2%
3,2.0,Rehabilitation of Bulucheke- Muchomo-Nyende Road,Common excavation or cut to spoil of soft material,161%
4, , ,Rock excavation or cut to spoil in rock,"2,456%"
5, , ,Fill as instructed by the engineer,197%
